,fasta,cluster_s,cluster_g,cluster_f
0,GutReferenceSet/GutReferenceSet/Demo/ASM_19476_0_MAG_4.fa,1,1,1
1,GutReferenceSet/GutReferenceSet/Demo/ASM_25755_0_MAG_4.fa,1,1,1
2,GutReferenceSet/GutReferenceSet/Demo/ASM_23511_0_MAG_0.fa,2,2,1
